26.0s 1 Epoch [1/250], Loss: 7.1773
37.2s 2 Epoch [2/250], Loss: 6.3784
48.7s 3 Epoch [3/250], Loss: 5.5785
60.1s 4 Epoch [4/250], Loss: 4.9980
71.1s 5 Epoch [5/250], Loss: 4.5038
82.5s 6 Epoch [6/250], Loss: 3.8939
93.5s 7 Epoch [7/250], Loss: 3.3710
104.5s 8 Epoch [8/250], Loss: 2.9164
116.0s 9 Epoch [9/250], Loss: 2.4995
127.1s 10 Epoch [10/250], Loss: 2.1696
138.3s 11 Epoch [11/250], Loss: 1.9270
149.8s 12 Epoch [12/250], Loss: 1.6605
160.7s 13 Epoch [13/250], Loss: 1.5087
172.0s 14 Epoch [14/250], Loss: 1.3465
183.5s 15 Epoch [15/250], Loss: 1.2375
194.6s 16 Epoch [16/250], Loss: 1.2320
205.5s 17 Epoch [17/250], Loss: 1.0777
217.1s 18 Epoch [18/250], Loss: 1.0685
228.1s 19 Epoch [19/250], Loss: 0.7137
239.2s 20 Epoch [20/250], Loss: 0.8408
250.6s 21 Epoch [21/250], Loss: 0.7069
261.8s 22 Epoch [22/250], Loss: 0.6931
272.5s 23 Epoch [23/250], Loss: 0.5312
283.5s 24 Epoch [24/250], Loss: 0.5305
294.2s 25 Epoch [25/250], Loss: 0.3779
305.8s 26 Epoch [26/250], Loss: 0.5130
316.9s 27 Epoch [27/250], Loss: 0.5685
327.9s 28 Epoch [28/250], Loss: 0.7442
339.3s 29 Epoch [29/250], Loss: 0.6545
350.0s 30 Epoch [30/250], Loss: 0.4889
361.0s 31 Epoch [31/250], Loss: 0.2522
372.4s 32 Epoch [32/250], Loss: 0.2165
383.4s 33 Epoch [33/250], Loss: 0.1536
394.7s 34 Epoch [34/250], Loss: 0.1722
406.6s 35 Epoch [35/250], Loss: 0.1905
418.0s 36 Epoch [36/250], Loss: 0.0964
429.3s 37 Epoch [37/250], Loss: 0.0691
441.1s 38 Epoch [38/250], Loss: 0.0628
452.3s 39 Epoch [39/250], Loss: 0.0527
463.4s 40 Epoch [40/250], Loss: 0.0622
474.6s 41 Epoch [41/250], Loss: 0.0875
485.5s 42 Epoch [42/250], Loss: 0.0468
496.9s 43 Epoch [43/250], Loss: 0.0528
508.0s 44 Epoch [44/250], Loss: 0.0627
519.0s 45 Epoch [45/250], Loss: 0.0261
530.3s 46 Epoch [46/250], Loss: 0.0372
541.3s 47 Epoch [47/250], Loss: 0.0261
552.3s 48 Epoch [48/250], Loss: 0.0249
563.8s 49 Epoch [49/250], Loss: 0.0211
574.8s 50 Epoch [50/250], Loss: 0.0682
585.7s 51 Epoch [51/250], Loss: 0.0971
597.1s 52 Epoch [52/250], Loss: 0.0224
608.1s 53 Epoch [53/250], Loss: 0.0103
619.1s 54 Epoch [54/250], Loss: 0.0052
630.4s 55 Epoch [55/250], Loss: 0.0040
641.8s 56 Epoch [56/250], Loss: 0.0031
653.0s 57 Epoch [57/250], Loss: 0.0036
664.4s 58 Epoch [58/250], Loss: 0.6217
675.1s 59 Epoch [59/250], Loss: 0.1574
686.0s 60 Epoch [60/250], Loss: 0.0460
697.3s 61 Epoch [61/250], Loss: 0.0092
708.3s 62 Epoch [62/250], Loss: 0.0071
719.6s 63 Epoch [63/250], Loss: 0.0056
730.8s 64 Epoch [64/250], Loss: 0.0043
742.0s 65 Epoch [65/250], Loss: 0.0033
753.6s 66 Epoch [66/250], Loss: 0.0026
764.9s 67 Epoch [67/250], Loss: 0.0021
776.2s 68 Epoch [68/250], Loss: 0.0017
787.9s 69 Epoch [69/250], Loss: 0.0014
799.2s 70 Epoch [70/250], Loss: 0.3255
810.1s 71 Epoch [71/250], Loss: 0.0709
821.3s 72 Epoch [72/250], Loss: 0.0199
832.3s 73 Epoch [73/250], Loss: 0.0151
843.4s 74 Epoch [74/250], Loss: 0.0086
854.8s 75 Epoch [75/250], Loss: 0.0049
865.9s 76 Epoch [76/250], Loss: 0.0038
877.1s 77 Epoch [77/250], Loss: 0.0030
888.5s 78 Epoch [78/250], Loss: 0.0024
899.7s 79 Epoch [79/250], Loss: 0.0019
911.1s 80 Epoch [80/250], Loss: 0.0015
922.6s 81 Epoch [81/250], Loss: 0.0012
934.0s 82 Epoch [82/250], Loss: 0.0010
945.6s 83 Epoch [83/250], Loss: 0.0011
956.9s 84 Epoch [84/250], Loss: 0.6640
967.7s 85 Epoch [85/250], Loss: 0.0872
978.7s 86 Epoch [86/250], Loss: 0.0186
989.6s 87 Epoch [87/250], Loss: 0.0166
1000.6s 88 Epoch [88/250], Loss: 0.0107
1012.2s 89 Epoch [89/250], Loss: 0.0077
1023.4s 90 Epoch [90/250], Loss: 0.0061
1034.6s 91 Epoch [91/250], Loss: 0.0050
1046.1s 92 Epoch [92/250], Loss: 0.0048
1057.4s 93 Epoch [93/250], Loss: 0.7459
1068.2s 94 Epoch [94/250], Loss: 0.0500
1079.1s 95 Epoch [95/250], Loss: 0.0222
1090.2s 96 Epoch [96/250], Loss: 0.0097
1101.2s 97 Epoch [97/250], Loss: 0.0062
1112.5s 98 Epoch [98/250], Loss: 0.0041
1123.6s 99 Epoch [99/250], Loss: 0.0034
1134.9s 100 Epoch [100/250], Loss: 0.0027
1146.1s 101 Epoch [101/250], Loss: 0.0022
1157.4s 102 Epoch [102/250], Loss: 0.0017
1169.0s 103 Epoch [103/250], Loss: 0.0014
1180.1s 104 Epoch [104/250], Loss: 0.0011
1191.5s 105 Epoch [105/250], Loss: 0.0009
1203.1s 106 Epoch [106/250], Loss: 0.0008
1214.3s 107 Epoch [107/250], Loss: 0.5239
1225.1s 108 Epoch [108/250], Loss: 0.1255
1236.1s 109 Epoch [109/250], Loss: 0.0895
1247.0s 110 Epoch [110/250], Loss: 0.0140
1258.0s 111 Epoch [111/250], Loss: 0.0061
1269.3s 112 Epoch [112/250], Loss: 0.0049
1280.4s 113 Epoch [113/250], Loss: 0.0039
1291.5s 114 Epoch [114/250], Loss: 0.0027
1302.9s 115 Epoch [115/250], Loss: 0.0022
1314.0s 116 Epoch [116/250], Loss: 0.0018
1325.3s 117 Epoch [117/250], Loss: 0.0015
1336.7s 118 Epoch [118/250], Loss: 0.0011
1347.9s 119 Epoch [119/250], Loss: 0.0010
1359.4s 120 Epoch [120/250], Loss: 0.0009
1370.5s 121 Epoch [121/250], Loss: 0.4529
1381.2s 122 Epoch [122/250], Loss: 0.0657
1392.1s 123 Epoch [123/250], Loss: 0.0201
1402.9s 124 Epoch [124/250], Loss: 0.0165
1413.8s 125 Epoch [125/250], Loss: 0.0058
1425.2s 126 Epoch [126/250], Loss: 0.0058
1436.2s 127 Epoch [127/250], Loss: 0.0032
1447.1s 128 Epoch [128/250], Loss: 0.0028
1458.5s 129 Epoch [129/250], Loss: 0.4639
1469.4s 130 Epoch [130/250], Loss: 0.2484
1480.3s 131 Epoch [131/250], Loss: 0.0075
1491.3s 132 Epoch [132/250], Loss: 0.0078
1502.2s 133 Epoch [133/250], Loss: 0.0051
1512.9s 134 Epoch [134/250], Loss: 0.0039
1524.2s 135 Epoch [135/250], Loss: 0.0033
1535.1s 136 Epoch [136/250], Loss: 0.0022
1546.1s 137 Epoch [137/250], Loss: 0.0020
1557.4s 138 Epoch [138/250], Loss: 0.6260
1568.2s 139 Epoch [139/250], Loss: 0.0159
1579.0s 140 Epoch [140/250], Loss: 0.0161
1590.0s 141 Epoch [141/250], Loss: 0.0049
1601.0s 142 Epoch [142/250], Loss: 0.0048
1611.9s 143 Epoch [143/250], Loss: 0.0035
1623.8s 144 Epoch [144/250], Loss: 0.0028
1635.2s 145 Epoch [145/250], Loss: 0.0020
1647.0s 146 Epoch [146/250], Loss: 0.0017
1658.4s 147 Epoch [147/250], Loss: 0.0015
1669.6s 148 Epoch [148/250], Loss: 0.0021
1681.1s 149 Epoch [149/250], Loss: 0.1162
1691.9s 150 Epoch [150/250], Loss: 0.0572
1702.9s 151 Epoch [151/250], Loss: 0.0198
1714.4s 152 Epoch [152/250], Loss: 0.0057
1725.8s 153 Epoch [153/250], Loss: 0.0064
1737.0s 154 Epoch [154/250], Loss: 0.0061
1748.6s 155 Epoch [155/250], Loss: 0.0177
1759.9s 156 Epoch [156/250], Loss: 0.0530
1770.6s 157 Epoch [157/250], Loss: 0.1117
1781.8s 158 Epoch [158/250], Loss: 0.0178
1792.7s 159 Epoch [159/250], Loss: 0.0100
1803.7s 160 Epoch [160/250], Loss: 0.0033
1815.3s 161 Epoch [161/250], Loss: 0.0035
1826.3s 162 Epoch [162/250], Loss: 0.0118
1837.5s 163 Epoch [163/250], Loss: 0.2119
1848.6s 164 Epoch [164/250], Loss: 0.0488
1859.5s 165 Epoch [165/250], Loss: 0.0078
1870.8s 166 Epoch [166/250], Loss: 0.0063
1881.6s 167 Epoch [167/250], Loss: 0.0081
1892.4s 168 Epoch [168/250], Loss: 0.0039
1903.7s 169 Epoch [169/250], Loss: 0.0040
1914.9s 170 Epoch [170/250], Loss: 0.0030
1926.2s 171 Epoch [171/250], Loss: 0.0020
1937.8s 172 Epoch [172/250], Loss: 0.3451
1948.9s 173 Epoch [173/250], Loss: 0.1127
1959.6s 174 Epoch [174/250], Loss: 0.0178
1970.9s 175 Epoch [175/250], Loss: 0.0112
1981.8s 176 Epoch [176/250], Loss: 0.0045
1992.9s 177 Epoch [177/250], Loss: 0.0042
2004.3s 178 Epoch [178/250], Loss: 0.0034
2015.4s 179 Epoch [179/250], Loss: 0.0037
2026.5s 180 Epoch [180/250], Loss: 0.0673
2037.7s 181 Epoch [181/250], Loss: 0.0376
2048.4s 182 Epoch [182/250], Loss: 0.0542
2059.2s 183 Epoch [183/250], Loss: 0.0372
2070.5s 184 Epoch [184/250], Loss: 0.0036
2081.5s 185 Epoch [185/250], Loss: 0.0039
2092.8s 186 Epoch [186/250], Loss: 0.0073
2104.0s 187 Epoch [187/250], Loss: 0.0153
2115.1s 188 Epoch [188/250], Loss: 0.0431
2126.2s 189 Epoch [189/250], Loss: 0.0067
2137.2s 190 Epoch [190/250], Loss: 0.0211
2148.2s 191 Epoch [191/250], Loss: 0.0022
2159.9s 192 Epoch [192/250], Loss: 0.0021
2171.0s 193 Epoch [193/250], Loss: 0.0017
2182.3s 194 Epoch [194/250], Loss: 0.0012
2194.0s 195 Epoch [195/250], Loss: 0.0011
2205.5s 196 Epoch [196/250], Loss: 0.3954
2216.5s 197 Epoch [197/250], Loss: 0.0269
2227.7s 198 Epoch [198/250], Loss: 0.0067
2238.9s 199 Epoch [199/250], Loss: 0.0109
2250.1s 200 Epoch [200/250], Loss: 0.0033
2261.7s 201 Epoch [201/250], Loss: 0.0029
2272.9s 202 Epoch [202/250], Loss: 0.0688
2284.1s 203 Epoch [203/250], Loss: 0.2558
2295.1s 204 Epoch [204/250], Loss: 0.1713
2305.8s 205 Epoch [205/250], Loss: 0.0409
2316.8s 206 Epoch [206/250], Loss: 0.0132
2327.9s 207 Epoch [207/250], Loss: 0.0194
2338.8s 208 Epoch [208/250], Loss: 0.0018
2350.2s 209 Epoch [209/250], Loss: 0.0432
2361.2s 210 Epoch [210/250], Loss: 0.0927
2372.4s 211 Epoch [211/250], Loss: 0.0074
2383.8s 212 Epoch [212/250], Loss: 0.0255
2394.5s 213 Epoch [213/250], Loss: 0.0037
2405.5s 214 Epoch [214/250], Loss: 0.0113
2416.9s 215 Epoch [215/250], Loss: 0.0058
2428.3s 216 Epoch [216/250], Loss: 0.0136
2439.4s 217 Epoch [217/250], Loss: 0.1204
2450.8s 218 Epoch [218/250], Loss: 0.0415
2461.8s 219 Epoch [219/250], Loss: 0.1129
2473.3s 220 Epoch [220/250], Loss: 0.0105
2485.2s 221 Epoch [221/250], Loss: 0.0090
2497.0s 222 Epoch [222/250], Loss: 0.0104
2508.9s 223 Epoch [223/250], Loss: 0.0013
2520.5s 224 Epoch [224/250], Loss: 0.0469
2532.3s 225 Epoch [225/250], Loss: 0.0299
2544.3s 226 Epoch [226/250], Loss: 0.0217
2555.8s 227 Epoch [227/250], Loss: 0.0467
2567.4s 228 Epoch [228/250], Loss: 0.0168
2578.9s 229 Epoch [229/250], Loss: 0.0108
2590.2s 230 Epoch [230/250], Loss: 0.0121
2601.4s 231 Epoch [231/250], Loss: 0.0174
2612.6s 232 Epoch [232/250], Loss: 0.0509
2623.6s 233 Epoch [233/250], Loss: 0.0354
