6.1s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.1s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.1s 3 0.00s - to python to disable frozen modules.
6.1s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
6.9s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.9s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.9s 7 0.00s - to python to disable frozen modules.
6.9s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
16.2s 9 
16.2s 10 Running Mode: WITHOUT_ATTENTION
31.1s 11 Epoch 1, Loss: 822.5107, Validation Loss: 6.3836
40.5s 12 Epoch 2, Loss: 737.6790, Validation Loss: 6.1903
49.9s 13 Epoch 3, Loss: 698.1954, Validation Loss: 6.0953
59.5s 14 Epoch 4, Loss: 653.7727, Validation Loss: 6.0396
68.9s 15 Epoch 5, Loss: 611.5232, Validation Loss: 5.8121
78.3s 16 Epoch 6, Loss: 567.8876, Validation Loss: 5.6847
87.6s 17 Epoch 7, Loss: 529.1491, Validation Loss: 5.8133
97.2s 18 Epoch 8, Loss: 487.5933, Validation Loss: 5.7557
106.5s 19 Epoch 9, Loss: 447.7969, Validation Loss: 5.6230
115.9s 20 Epoch 10, Loss: 411.7792, Validation Loss: 5.7528
125.4s 21 Epoch 11, Loss: 380.4255, Validation Loss: 5.7848
134.8s 22 Epoch 12, Loss: 344.7298, Validation Loss: 5.6580
144.1s 23 Epoch 13, Loss: 312.3373, Validation Loss: 5.6089
153.6s 24 Epoch 14, Loss: 276.5858, Validation Loss: 5.8167
163.0s 25 Epoch 15, Loss: 246.1038, Validation Loss: 5.8340
172.3s 26 Epoch 16, Loss: 216.2125, Validation Loss: 6.0470
181.7s 27 Epoch 17, Loss: 192.7931, Validation Loss: 6.1177
191.2s 28 Epoch 18, Loss: 169.9787, Validation Loss: 6.1894
200.6s 29 Epoch 19, Loss: 142.7798, Validation Loss: 6.2619
209.9s 30 Epoch 20, Loss: 121.3912, Validation Loss: 6.4010
219.4s 31 Epoch 21, Loss: 99.7213, Validation Loss: 6.0212
228.8s 32 Epoch 22, Loss: 82.4246, Validation Loss: 6.5255
238.2s 33 Epoch 23, Loss: 66.4475, Validation Loss: 6.1607
